gender,name.title,nameFirst,nameLast,location.street.number,location.street.name,city,state,country,location.postcode,email,login.username,dob.date,dob.age,registered.date,phone,cell,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Mahika,Kumar,7712,Tripolia Bazar,Warangal,Haryana,India,54860,mahika.kumar@example.com,lazytiger179,1960-11-08T01:09:47.847Z,62,2017-08-05T19:21:32.568Z,9023286145,7339389701,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,IN
male,Mr,Imme,Webbink,7695,G N Schutterlaan,Brielle,Drenthe,Netherlands,5860 KP,imme.webbink@example.com,yellowtiger761,1998-02-11T11:18:24.251Z,24,2012-04-26T17:03:28.082Z,(0154) 057091,(06) 98897790,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,NL
female,Mrs,Elisa,Deschamps,5812,Cours Charlemagne,Marseille,Cher,France,64998,elisa.deschamps@example.com,angrypeacock812,1952-10-28T11:53:10.958Z,70,2006-08-12T14:15:34.949Z,03-87-44-93-26,06-39-78-20-39,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,FR
female,Miss,Albane,Vidal,2758,Avenue du Château,Bordeaux,Pyrénées-Atlantiques,France,63775,albane.vidal@example.com,goldenswan454,1988-03-31T14:01:56.913Z,34,2010-03-10T08:05:18.424Z,03-98-23-91-19,06-54-86-89-57,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,FR
female,Ms,Susie,Morris,5362,Park Avenue,Peterborough,Kent,United Kingdom,M68 8NP,susie.morris@example.com,beautifulleopard184,1993-10-05T05:23:40.255Z,29,2010-07-24T08:34:52.469Z,015394 97230,07154 921157,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,GB
male,Mr,Jatin,Belligatti,4505,China Bazaar Rd,Raurkela Industrial Township,Manipur,India,75634,jatin.belligatti@example.com,greenmouse647,1959-03-09T09:32:07.263Z,63,2012-12-22T00:11:02.185Z,8823968847,7515789491,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,IN
female,Ms,Ester,de Souza,1973,Rua Tiradentes ,Trindade,Rio de Janeiro,Brazil,65147,ester.desouza@example.com,tinydog772,1963-04-17T19:27:10.584Z,59,2013-08-05T09:57:22.927Z,(43) 1926-9486,(91) 1195-8428,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,BR
male,Mr,Mathew,Baker,3839,Main Road,Newcastle upon Tyne,North Yorkshire,United Kingdom,C22 6UP,mathew.baker@example.com,silverduck918,1987-06-23T01:13:27.625Z,35,2015-05-17T14:10:23.918Z,015396 80134,07829 645955,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,GB
female,Madame,Katia,Adam,9222,Avenue Vauban,Schneisingen,Zug,Switzerland,1122,katia.adam@example.com,beautifulelephant881,1955-03-29T02:34:38.881Z,67,2020-01-30T18:31:41.567Z,079 121 69 01,076 486 99 75,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,CH
female,Madame,Anne-Lise,Lefebvre,6509,Rue D'Abbeville,Greng,Thurgau,Switzerland,5796,anne-lise.lefebvre@example.com,silvermeercat711,1967-12-24T06:34:11.610Z,55,2005-05-31T10:29:14.942Z,077 163 72 98,075 427 05 17,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,CH
